16,https://i.hungrygowhere.com/business/5f/43/11/00/yummy-rojak_320x0_crop_320x200_1be44e8199.jpg,Adam Road Food Centre,Yummy Rojak,"#01-19 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876","Chinese, Local, Seafood, Singaporean, Snacks",Tue - Sun: 10:00 - 01:00,"Cuttlefish Rojak, Double Fish Soup, Mango Rojak, Sotong Rojak"
17,https://i.hungrygowhere.com/business/60/43/11/00/the-sugar-cane-plant_320x0_crop_320x200_2df9367c01.jpg,Adam Road Food Centre,The Sugar Cane Plant,"#01-30 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876",Drinks,Daily: 07:00 - 21:00,Sugarcane Juice
18,https://i.hungrygowhere.com/business/9a/53/12/00/0cc0ca70-2548-4af8-8456-9ad2e5443dde_320x0_crop_320x200_2d145515da.JPG,Adam Road Food Centre,Selamat Datang Warong Pak Sapari,"#01-09 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876","Chinese, Malaysian",Mon - Tue: 08:00 - 22:00Thu - Sun: 09:00 - 22:00Closed: Wed,"Mee Rebus, Mee Soto"
19,https://i.hungrygowhere.com/business/4e/43/11/00/apit-drinks-stall_320x0_crop_320x200_de982f81d6.jpg,Adam Road Food Centre,Apit Drinks Stall,"#01-06 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876",Drinks,Mon - Sun: 10:00 - 03:00,null
20,https://i.hungrygowhere.com/business/cf/e5/12/00/img-9071_320x0_crop_320x200_1620dca01e.jpg,Adam Road Food Centre,Stall #22,"#01-22 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876",Singaporean,Mon - Sun: 11:00 - 02:00,"Carrot Cake, Fried Kway Teow, Fried Oyster, Hokkien Fried Prawn Noodle"
21,https://i.hungrygowhere.com/business/be/e5/12/00/img-9065_320x0_crop_320x200_dcbad88287.jpg,Adam Road Food Centre,Adam Seafood BBQ,"#01-18 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876","Barbecue, Chinese, Local, Seafood",Tue - Sun: 07:30 - 01:30,null
22,https://i.hungrygowhere.com/business/33/af/11/00/sin-chuan-huat-cold-drink_320x0_crop_320x200_8f610659e2.jpg,Adam Road Food Centre,Sin Chuan Huat Drinks Stall,"#01-20 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876","Chinese, Drinks, Singaporean",Daily: 09:00 - 00:00,"Assorted Beer, Honey Lemon, Hot & Cold Drinks"
23,https://s.hungrygowhere.com/bundles/insinghgwr/images/redesign/no_image.png?1584415419,Adam Road Food Centre,Steward Fruit Juice,"#01-28 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876","Asian, Fruits & Drinks, Local",Mon - Sun: 07:30 - 20:00,"Apple juice, Orange juice"
24,https://i.hungrygowhere.com/business/4d/43/11/00/nasi-singapura-house-of-lontong_320x0_crop_320x200_71fe5da58f.jpg,Adam Road Food Centre,Nasi Singapura House of Lontong,"#01-03 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876","Chinese, Malaysian",Closed: Sun,null
25,https://i.hungrygowhere.com/business/5e/43/11/00/yong-chai-hainanese-chicken-rice_320x0_crop_320x200_2c6f63e5ba.jpg,Adam Road Food Centre,Zhu Ji Hai Nan Chicken Rice,"#01-23 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876","Chinese, Hainanese, Local",Mon - Sun: 10:30 - 22:30,"Chicken Organs, Hainanese Chicken Rice, Oyster Sauce Vegetables"
26,https://i.hungrygowhere.com/business/31/af/11/00/seng-teck-kee_320x0_crop_320x200_935d67f5f0.jpg,Adam Road Food Centre,Seng Teck Kee,"#01-21 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876",Chinese,Tue - Sun: 09:30 - 01:00Closed: Mon,"Black Bean Fish Head, Nomnya Fish Head"
